Configuration,Classifier,Repetition,OOFPredictions,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,NPofB20,TotalLOC,BudgetLOC,InspectedLOC,InspectedRows,BuggyFound,TotalBuggy
C3,NaiveBayes,6,12836,808,770,10056,1202,0.512040557668,0.401990049751,0.806344110778,0.362596018816,0.212437810945,1750165.000000000000,350033.000000000000,350431.000000000000,1050,427,2010
C3,IBk,6,12836,1450,924,9902,560,0.610783487784,0.721393034826,0.824630197433,0.592364436512,0.561691542289,1750165.000000000000,350033.000000000000,350388.000000000000,1990,1129,2010
C4,RandomForest,6,12836,1552,635,10191,458,0.709647919524,0.772139303483,0.944237936495,0.688787672452,0.677611940299,1750165.000000000000,350033.000000000000,350052.000000000000,3192,1362,2010
C4,NaiveBayes,6,12836,764,687,10139,1246,0.526533425224,0.380099502488,0.795775119415,0.357075397483,0.260696517413,1750165.000000000000,350033.000000000000,350291.000000000000,1230,524,2010
C4,IBk,6,12836,1494,796,10030,516,0.652401746725,0.743283582090,0.897686447680,0.633807388723,0.628855721393,1750165.000000000000,350033.000000000000,350647.000000000000,2229,1264,2010
C1,RandomForest,7,12836,1449,267,10559,561,0.844405594406,0.720895522388,0.960601527739,0.740323298496,0.691542288557,1750165.000000000000,350033.000000000000,350440.000000000000,3183,1390,2010
C1,NaiveBayes,7,12836,748,697,10129,1262,0.517647058824,0.372139303483,0.805157015587,0.347533386543,0.198507462687,1750165.000000000000,350033.000000000000,350240.000000000000,931,399,2010
C1,IBk,7,12836,1319,655,10171,691,0.668186423506,0.656218905473,0.807618015594,0.600092622889,0.539303482587,1750165.000000000000,350033.000000000000,350131.000000000000,1708,1084,2010
C2,RandomForest,7,12836,1365,475,10351,645,0.741847826087,0.679104477612,0.942951738628,0.657884241037,0.678606965174,1750165.000000000000,350033.000000000000,350281.000000000000,2869,1364,2010
C2,NaiveBayes,7,12836,682,548,10278,1328,0.554471544715,0.339303482587,0.790757072756,0.342858047311,0.202985074627,1750165.000000000000,350033.000000000000,350190.000000000000,883,408,2010
