Project,Class,ReleaseIndex,LOC,LOC_TOUCHED,NR,NAUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE_WEEKS,WEIGHTED_AGE_WEEKS,IGNORED_ZERO_LOC_REVS,NSmells,NFIX,BUGGY
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToUpperCase.java,1,19,211,4,1,130,57,32.500000,49,53,12.250000,2323,773,580.750000,6.571429,6.261341,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Val.java,1,42,192,3,2,174,161,58.000000,156,161,52.000000,704,476,234.666667,5.428571,5.139137,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassStrategy.java,1,27,112,1,1,112,112,112.000000,112,112,112.000000,476,476,476.000000,5.428571,5.428571,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorStrategy.java,1,18,73,2,2,71,69,35.500000,69,69,34.500000,501,476,250.500000,5.428571,5.209393,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Embeddable.java,1,19,86,2,2,84,82,42.000000,82,82,41.000000,614,476,307.000000,5.428571,5.368771,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldStrategy.java,1,59,264,2,2,254,245,127.000000,244,245,122.000000,614,476,307.000000,5.428571,5.336039,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCOrder.java,1,9,177,6,1,110,55,18.333333,43,55,7.166667,2528,773,421.333333,14.857143,9.713479,2,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Joinable.java,1,20,86,1,1,86,86,86.000000,86,86,86.000000,476,476,476.000000,5.428571,5.428571,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RelationId.java,1,6,241,8,1,138,35,17.250000,35,35,4.375000,3313,773,414.125000,14.857143,8.045050,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseCustomizer.java,1,23,160,1,1,160,160,160.000000,160,160,160.000000,476,476,476.000000,5.428571,5.428571,1,0,0,NO
