"ReleaseIndex","Version","CommitId","SonarAnalysisKey","SonarRevision","Class","NSmells"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","36c28987-6ae7-40b2-b0ee-c8a4b501a519","6597ba2428bc3e62c68f246ef26c4bf889ef8554","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java","5"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","36c28987-6ae7-40b2-b0ee-c8a4b501a519","6597ba2428bc3e62c68f246ef26c4bf889ef8554","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java","7"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","36c28987-6ae7-40b2-b0ee-c8a4b501a519","6597ba2428bc3e62c68f246ef26c4bf889ef8554","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java","10"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","36c28987-6ae7-40b2-b0ee-c8a4b501a519","6597ba2428bc3e62c68f246ef26c4bf889ef8554","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/BatchingConstraintUpdateManager.java","2"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","36c28987-6ae7-40b2-b0ee-c8a4b501a519","6597ba2428bc3e62c68f246ef26c4bf889ef8554","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/BatchingOperationOrderUpdateManager.java","2"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","36c28987-6ae7-40b2-b0ee-c8a4b501a519","6597ba2428bc3e62c68f246ef26c4bf889ef8554","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/BatchingPreparedStatementManagerImpl.java","14"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","36c28987-6ae7-40b2-b0ee-c8a4b501a519","6597ba2428bc3e62c68f246ef26c4bf889ef8554","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java","18"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","36c28987-6ae7-40b2-b0ee-c8a4b501a519","6597ba2428bc3e62c68f246ef26c4bf889ef8554","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java","0"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","36c28987-6ae7-40b2-b0ee-c8a4b501a519","6597ba2428bc3e62c68f246ef26c4bf889ef8554","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConstraintUpdateManager.java","7"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","36c28987-6ae7-40b2-b0ee-c8a4b501a519","6597ba2428bc3e62c68f246ef26c4bf889ef8554","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java","0"
