IssueKey,FixCommitId,Status,EvidenceRows,FixedFiles,BugIntroducingCommits,BlamedLines,SameIssueFixRowsSkipped,SameIssueFixBlamedLinesSkipped
"OPENJPA-1294","5120b0e629a208ae7dc9f7f049e342ef15c2ea7c",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1294","6b96b82d31027452ceb1bfdc1e6a6fa42f7ca7f9",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1294","8abf57d913548526a24da7e321de62b45d03ba54",NO_EVIDENCE,0,0,0,0,1,1
"OPENJPA-1295","1aab5c3c6cfa9876161ff4b7e307012c7ee0b406",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1295","558446dfe975d67e530e8ec35df976d605d35e0a",EVIDENCE,1,1,1,1,1,3
"OPENJPA-13","5337ce10d0a4f00c3b04ca6bfe5cc05a76020afc",EVIDENCE,4,3,3,12,0,0
"OPENJPA-1302","eded0dd8facefda2af83567ecdae12f4c09eb53f",EVIDENCE,2,1,2,2,0,0
"OPENJPA-1303","53cc83eb7ee995aa3d645f7b4bdc6492f0e609d1",EVIDENCE,4,3,4,16,0,0
"OPENJPA-1303","6861dd1d02751ae55ef64dd51f6808d044dc560d",EVIDENCE,1,1,1,2,2,3
"OPENJPA-1303","6a47c4c03328689d1133c1a46c1f5d20b56549b9",EVIDENCE,6,3,5,21,0,0
"OPENJPA-1308","105d46c6eacbaad594e991b012f046da5d7d38fd",EVIDENCE,5,4,4,10,0,0
"OPENJPA-132","eb27482080af614ff7e387b9659e72571f8ce029",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1325","fbb7e1208aaa9c9462a00766e26e5147e4ab44f1",EVIDENCE,2,1,2,2,0,0
"OPENJPA-1326","82aece97114ff940964db9bca34b62c9bd5279c7",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1328","cc5664fe2d6d2cdd08e7b9744d69075541931965",EVIDENCE,4,2,3,49,0,0
"OPENJPA-133","859da3f913d8b4f0b142fe872d78847f958f0614",EVIDENCE,4,1,4,18,0,0
"OPENJPA-1338","020d46ef1231ce51ce231581c2e9c3d52dd7fbb4",EVIDENCE,2,1,2,12,0,0
"OPENJPA-1338","1b91bd3b58fc2451148d1006f6546843cc2c1201",NO_EVIDENCE,0,0,0,0,1,5
"OPENJPA-134","b4a3a77840af840f9cd2800b717c585a3c135e5e",EVIDENCE,22,14,8,56,0,0
"OPENJPA-1341","f74e98808838fd02f31b1fb4856821920b1df536",EVIDENCE,1,1,1,4,0,0
"OPENJPA-1344","87e07a9d47a05cb6ee72c80d932a20023a296a15",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1344","eb41b03ff4263cb004d7c0695f103c7f12203fde",EVIDENCE,3,2,3,3,0,0
"OPENJPA-1349","cc59e096ef9850ec1638ebcf001d558b9cfaa166",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1351","65d2ea8b1922cae9f68dddbdcd1e8e1212a62ba4",EVIDENCE,1,1,1,2,0,0
"OPENJPA-1352","79a4b76fdf0038f2460f6a5c828ab1e04ddf67ae",EVIDENCE,2,2,1,12,0,0
"OPENJPA-1354","3ec0fbf66fd6fd433d25e9884e2bd3453e78f1f4",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1355","2ef5d26a8ead4d86219aeb533f83f54851357ac5",EVIDENCE,2,1,2,7,0,0
"OPENJPA-1360","14996dfd406d3f59d6d106ca9f89faf753b18eea",EVIDENCE,1,1,1,2,0,0
"OPENJPA-1367","97496b0bd6fe8d7471c3b3495ecab01614b8dfd9",EVIDENCE,1,1,1,16,0,0
"OPENJPA-1370","f25b573aa08af7d0d26d5bb2b40d8e3be15a6874",EVIDENCE,2,1,2,3,0,0
"OPENJPA-1371","d1feecbc9e3750c2b887f0ae95b509569d28d22e",NO_EVIDENCE,0,0,0,0,1,12
"OPENJPA-1371","eabd0c9454bab3170ce7c10208afd687c96b84b1",EVIDENCE,2,2,2,3,0,0
"OPENJPA-1375","3e83d5d15b2095330d21739e1244db9b52a1a9b3",EVIDENCE,2,1,2,5,0,0
"OPENJPA-1376","0022b991ab84c0425663eb6475c6c2c75dcae0f2",NO_EVIDENCE,0,0,0,0,1,2
"OPENJPA-1376","529827b0fb77ddfdcec4474772972da6c02b51e3",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1376","e0a0050e7bec8032ec0160bdf3c955b1e437737c",EVIDENCE,15,6,10,92,0,0
"OPENJPA-1377","75f3a174a46540cdcf3509396f7c82febcfd6c2f",EVIDENCE,3,1,3,5,0,0
"OPENJPA-1379","19eb9f2615a15ae74a13668b88e3fd6136911d3e",EVIDENCE,1,1,1,2,0,0
"OPENJPA-1380","983b34b68e9b5cf2fb5b78744f6bb2fcb654389c",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1381","6f11e4d9836fa362d530d00cdd01342594eef1ab",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1381","9c275904f3a7a6f7f5740cf641bf7fcccb710186",EVIDENCE,11,10,6,46,1,5
"OPENJPA-1381","cfea146c2953a8b46abed0f5de50cf42701ccf7b",EVIDENCE,1,1,1,1,1,1
"OPENJPA-1381","fb82c6ad138638358017b9516f3340bf1a75e4fe",EVIDENCE,2,1,2,2,1,1
"OPENJPA-1384","27996efb4882423eb1fce9425626d068e4eb501b",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1385","865dad93aac88d8cf206825c60b1c7f340fe70eb",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1386","5d765ea05b1f786c2bc6d48e3231c5d3a5166269",EVIDENCE,2,1,2,42,0,0
"OPENJPA-1386","6e630e827ea2a257b2277c5589532b3b3b2e7fea",EVIDENCE,2,1,2,2,0,0
"OPENJPA-1387","05c785704cc706a1ca3745a5b2a3625eafb96c21",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1387","5143d0cafd3ccd45a973f5945561675d87a5e81c",EVIDENCE,3,2,2,3,0,0
"OPENJPA-1387","61f9b32a496f538e89074b5edd563bc1f01fb532",EVIDENCE,7,3,5,32,0,0
"OPENJPA-1387","69d2415b575d884968cb2e974173e6af570e093b",EVIDENCE,2,2,2,2,0,0
"OPENJPA-1387","7bd2b4ae49b25d040313dd17d2fbce9be74c3378",EVIDENCE,2,1,2,2,1,10
"OPENJPA-1387","9c275904f3a7a6f7f5740cf641bf7fcccb710186",EVIDENCE,3,3,3,13,9,38
"OPENJPA-1388","ee30b010dcbd58258c5d940d121e02f70b8160d9",EVIDENCE,2,2,2,3,0,0
"OPENJPA-139","7ea424bf0b36d6be115976fa6134877116fc2dee",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1390","481bb3d6eb14697e425a673b643e6037424c173e",EVIDENCE,2,1,2,13,0,0
"OPENJPA-1391","be2ff16fe3ac83e54723daa4452dc71a6c1e2a14",EVIDENCE,7,3,6,35,0,0
"OPENJPA-1392","f1451e5fd868eacfabaf3500faeae13f05de3e79",EVIDENCE,3,1,3,5,0,0
"OPENJPA-1393","f1451e5fd868eacfabaf3500faeae13f05de3e79",EVIDENCE,3,1,3,5,0,0
"OPENJPA-1394","f6a6ee15f23f7bf7d99d33a3c904985b1ef8e98a",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1396","c3a856faa022f43d8fe9b30d954edd46e1401131",EVIDENCE,7,4,4,21,0,0
"OPENJPA-1397","8607e0b3b4050a29c93c15bdd23fe676bf76490f",EVIDENCE,1,1,1,2,0,0
"OPENJPA-14","978bc40091963f9a89f08b64a4163687a0d9fec7",EVIDENCE,1,1,1,2,0,0
"OPENJPA-14","dcb47f0fe406c5d926c2d0e654b6690a15111cf1",EVIDENCE,4,4,3,4,0,0
"OPENJPA-1400","2c00f18f0c634ed5c16ebdbb90188e24033ef124",EVIDENCE,1,1,1,3,0,0
"OPENJPA-1401","9e8b0ded0b5c204f3de3df3abb8f79b44d9f7421",EVIDENCE,4,1,4,4,0,0
"OPENJPA-1409","1aaa1aa08647c357a406ecee42e6b2439c60fb27",EVIDENCE,7,6,4,33,0,0
"OPENJPA-1409","2353db803d1f862a2b1a30052cc56346ac59cf06",EVIDENCE,2,1,2,20,0,0
"OPENJPA-1410","04bb0664750212b332720e87b5f273310a8ed1f6",EVIDENCE,1,1,1,2,0,0
"OPENJPA-1410","9ea3fe08956adcf351ceaa6ca8fd8f7dfd4989e6",EVIDENCE,1,1,1,25,0,0
"OPENJPA-1410","acafc94a5e539c4b0bd2a3913006cb32da303f67",NO_EVIDENCE,0,0,0,0,1,15
"OPENJPA-1410","d299ac431108416d606549ec771ca5b5a26d78a6",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1413","3f3d586c7301b1f2f926fb40fac194b6229d970e",EVIDENCE,1,1,1,1,0,0
"OPENJPA-142","b5bab78e043329c97b0ddac1558bd595e5a522aa",EVIDENCE,2,2,2,3,0,0
"OPENJPA-1424","43c55d05391c97160cb6e963742b19c62ba1a3b3",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1424","e5ba74a9fcefaacdb963405c65910f9272c6829c",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1425","4515e2f5da657fedb0329c5bc5e48e657e861ebb",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1425","b1ee063aa43a1e1fbfd837ef82a25a3e7ef937c4",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-143","6cd259f310fb0feab604805ffd0578e85513b64c",EVIDENCE,5,3,3,36,0,0
"OPENJPA-1431","8dff01769495aa4fd94c83b58f144dfdebdfc581",EVIDENCE,1,1,1,3,0,0
"OPENJPA-1432","5d9f08e72877b208dad9135afec8b630ce41f81d",EVIDENCE,3,2,3,4,0,0
"OPENJPA-1435","8410bc88c6fca3587170b61ad9890c1717e81b1e",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1438","d189eac9dd6dd756643c3edce6932c56c87fb9a4",EVIDENCE,1,1,1,5,0,0
"OPENJPA-1439","d491a9cbed9beaf7f838e67e5ecd7aa8d10d58e5",EVIDENCE,1,1,1,4,0,0
"OPENJPA-1441","35377aace92dfd5554b0e795e8178f93f1878d3a",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1442","a0e001e40ad600372f16d5708f580fc101fec3c3",EVIDENCE,1,1,1,2,0,0
"OPENJPA-1444","29e919f2ccea6667a47212f1f333fe78a8b43fc0",EVIDENCE,3,3,3,3,5,55
"OPENJPA-1444","3dee418d36c7aa1c217c3779ec7813ee9f9e87ae",EVIDENCE,4,2,4,6,0,0
"OPENJPA-1444","df5a403700ac8f070408bf86fdebeedbf209fea8",NO_EVIDENCE,0,0,0,0,1,1
"OPENJPA-1445","775c627b8038f03a86bb1a0bd1cd03e3caf07070",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1445","fded22b2e04b8c2482fe257226c15a94bd8f23be",EVIDENCE,1,1,1,17,0,0
"OPENJPA-1452","3065f2febb333b4680ccd5649ece87dc2592afa9",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1452","6710465b7c66b61222d7c034022a143c93586225",EVIDENCE,2,1,2,4,0,0
"OPENJPA-1455","b08a0d179bb3fd690da18a2556e9ccc09dfb2c0a",NO_EVIDENCE,0,0,0,0,1,9
"OPENJPA-1455","e303892e2a16cc50785f37b951d047e394bf08ac",EVIDENCE,2,2,2,2,0,0
"OPENJPA-1455","e53378bd2697a023a2be5d4c9191fa80c3411800",NO_EVIDENCE,0,0,0,0,1,1
"OPENJPA-1458","2331d205229f72e7526d03896b5fbdca16ffca2b",EVIDENCE,2,2,1,3,0,0
"OPENJPA-146","1b446958f5699c2adecb3163ab9ce44b873b2f57",EVIDENCE,2,2,2,3,0,0
"OPENJPA-1460","00c44aba43590c4e3f6dab5d71cbae433a13fdb9",NO_EVIDENCE,0,0,0,0,1,2
"OPENJPA-1460","1049796100da5f1b082f026c73ae3bb19139dde1",NO_EVIDENCE,0,0,0,0,3,5
"OPENJPA-1460","36e31ae445e15bc38fdc93bf1d887fb670eac1c5",EVIDENCE,2,2,2,2,0,0
"OPENJPA-1460","3bff9645033db9d990e80187a76b6de08e840aa8",NO_EVIDENCE,0,0,0,0,2,2
"OPENJPA-1460","4a987190d99d77dd18878423280489367bd17397",NO_EVIDENCE,0,0,0,0,2,2
"OPENJPA-1460","c15f473949ca72a972dc75f61c5f0b43a9dd1e9f",NO_EVIDENCE,0,0,0,0,8,54
"OPENJPA-1460","d299ac431108416d606549ec771ca5b5a26d78a6",NO_EVIDENCE,0,0,0,0,0,0
"OPENJPA-1461","dad4ad195225eaa68e6e3bed942822f0ea86d434",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1464","7b53696e6e5162debf7d48d0f02940f5df15239e",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1467","a91f6d553e59d2c8a0f2c0b7ca4e4cedec33e9f6",EVIDENCE,2,1,2,11,0,0
"OPENJPA-1477","ec8dba1465635ad5fdc8d993c73fa71616face71",EVIDENCE,1,1,1,2,0,0
"OPENJPA-148","04397f562eeffeeb521527f12bfe9ab8bb83a93e",NO_EVIDENCE,0,0,0,0,1,3
"OPENJPA-148","2f4cafdcfb6f0333538602b794a11e084d19cd3f",EVIDENCE,3,1,3,7,0,0
